mls_number,source_mls,address,city,office,list_price,listing_date,returncode,message,n_sites,views,inquiries,shares,favorites,sites
261379,cmc,35 Route 47 S,Cape May Court House,CENTURY 21 ALLIANCE wc,239900,2026-05-19,0,,13,1526,0,0,1,AgentFire|Constellation|Corcoran.com|CoreLogic - OneHome|IDC Global|Inside Real Estate|Luxury Presence|Moxi Works|NRT|RE/MAX.com|Sierra Interactive LLC|Trulia|Zillow.com
261425,cmc,4001-4009 New Jersey Avenue,Wildwood,CENTURY 21 ALLIANCE wc,549000,2026-05-23,0,,2,328,0,0,0,RE/MAX.com|Realtor.com
600420,sjsr,6418 Black Horse Pike,Egg Harbor Township,CENTURY 21 ALLIANCE-O1O4J,0,2025-09-13,0,,0,0,0,0,0,
603059,sjsr,117 Delaware Ave,Egg Harbor Township,CENTURY 21 ALLIANCE-O1O4J,559000,2025-12-11,0,,0,0,0,0,0,
603443,sjsr,16-20 Roosevelt Blvd,Marmora,CENTURY 21 ALLIANCE-O1O4J,849900,2026-01-03,0,,0,0,0,0,0,
603938,sjsr,5734 Central Ave,Ocean City,CENTURY 21 ALLIANCE-O1O4J,2199900,2026-01-16,0,,0,0,0,0,0,
604179,sjsr,3501 Pacific Ave,Atlantic City,CENTURY 21 ALLIANCE-O1O4J,106000,2026-01-24,0,,7,48,0,0,0,Coldwell Banker|IDC Global|Inside Real Estate|SaleCORE|Trulia|Zillow.com|century21.com
605211,sjsr,840 Ocean Ave,Ocean City,CENTURY 21 ALLIANCE-O1O4J,209000,2026-03-01,0,,0,0,0,0,0,
605696,sjsr,10 Empire Dr,Egg Harbor Township,Century 21 Alliance-S104L,334900,2026-03-17,0,,0,0,0,0,0,
605946,sjsr,131 Central Ave,Ocean City,CENTURY 21 ALLIANCE-O1O4J,569900,2026-03-24,0,,0,0,0,0,0,
606108,sjsr,921 Wesley Ave,Ocean City,CENTURY 21 ALLIANCE-O1O4J,298000,2026-03-28,0,,12,1226,0,0,0,Coldwell Banker|Gabriels Technology Solutions|Luxury Presence|Moxi Works|RE/MAX.com|Real Geeks|Reliance Network|Trulia|Weichert|Zillow.com|century21.com|propgoluxury.com
606468,sjsr,430 S Shore Road,Marmora,CENTURY 21 ALLIANCE-O1O4J,259900,2026-04-07,0,,3,70,0,0,0,CBCworldwide.com|FlexMLS|RealistiQ
606967,sjsr,1934 West Ave Ave,Ocean City,CENTURY 21 ALLIANCE-S104I,2950000,2026-04-15,0,,0,0,0,0,0,
607181,sjsr,405 Ocean Ave,North Wildwood,CENTURY 21 ALLIANCE-S104B,305000,2026-04-19,0,,0,0,0,0,0,
607680,sjsr,117 E Maple Ave,Wildwood,CENTURY 21 ALLIANCE-S104B,929000,2026-05-08,0,,15,221,0,0,0,AgentFire|BHHS.com|CINC|CoreLogic - OneHome|IDC Global|Inside Real Estate|Luxury Presence|NRT|Property Panorama|REMAX.com|Real Geeks|Realtor.com|Sierra Interactive LLC|Trulia|Zillow.com
608073,sjsr,665 Cypress Point Dr,Galloway Township,CENTURY 21 ALLIANCE-O1O4J,479900,2026-05-20,0,,0,0,0,0,0,
608085,sjsr,308 Osprey Ct,Cape May Court House,CENTURY 21 ALLIANCE-S104B,690000,2026-05-19,0,,0,0,0,0,0,
608118,sjsr,1934 West Ave Ave,Ocean City,CENTURY 21 ALLIANCE-S104I,2499000,2026-05-21,0,,0,0,0,0,0,
